PTLFlow name,Original name,Source
dicl-chairs-fdc24e2f.ckpt,ckpt_chairs.pth.tar,https://github.com/jytime/DICL-Flow
dicl-kitti-4813ccab.ckpt,ckpt_kitti.pth.tar,
dicl-sintel-fa9fc259.ckpt,ckpt_sintel.pth.tar,
dicl-things-20bc573d.ckpt,ckpt_things.pth.tar,
flownet2-things-d63b53a7.ckpt,FlowNet2_checkpoint.pth.tar,https://github.com/NVIDIA/flownet2-pytorch
flownetc-things-cc8ac7fd.ckpt,FlowNet2-C_checkpoint,
flownetcs-things-4bdecffa.ckpt,FlowNet2-CS_checkpoint,
flownetcss-things-b42e67d0.ckpt,FlowNet2-CSS_checkpoint,
flownets-things-98cde14d.ckpt,FlowNet2-S_checkpoint,
flownetsd-things-c5f3124e.ckpt,FlowNet2-SD_checkpoint,
hd3-chairs-0d46c9fd.ckpt,hd3f_chairs-04bf114d.pth,https://github.com/ucbdrive/hd3
hd3-kitti-6eb77dd3.ckpt,hd3f_chairs_things-462a3896.pth,
hd3-sintel-10689995.ckpt,hd3f_chairs_things_kitti-41b15827.pth,
hd3-things-afcd2eb4.ckpt,hd3f_chairs_things_sintel-5b4ad51a.pth,
hd3_ctxt-chairs-d7448468.ckpt,hd3fc_chairs-1367436d.pth,
hd3_ctxt-kitti-e7d69776.ckpt,hd3fc_chairs_things-0b92a7f5.pth,
hd3_ctxt-sintel-22e655e9.ckpt,hd3fc_chairs_things_kitti-bfa97911.pth,
hd3_ctxt-things-f1681f75.ckpt,hd3fc_chairs_things_sintel-0be17c83.pth,
irr_pwc-chairs_occ-02066cc4.ckpt,IRR-PWC_flyingchairsOcc-best,https://github.com/visinf/irr
irr_pwc-kitti-74d8868f.ckpt,IRR-PWC_kitti-best,
irr_pwc-sintel-6ad65777.ckpt,IRR-PWC_sintel-best,
irr_pwc-things-c143e848.ckpt,IRR-PWC_things3d-best,
irr_pwcnet-things-3f7fb8ca.ckpt,PWCNet-best,
irr_pwcnet_irr-things-41a07190.ckpt,PWCNet-irr-best,
lcv_raft-chairs-8063d698.ckpt,Original,PTLFlow
lcv_raft-things-4c7233b8.ckpt,Original,
liteflownet-kitti-49f1991a.ckpt,liteflownet-ft-kitti.caffemodel,https://github.com/twhui/LiteFlowNet
liteflownet-sintel-17991e50.ckpt,liteflownet-ft-sintel.caffemodel,
liteflownet-things-a4d066e2.ckpt,liteflownet.caffemodel,
liteflownet2-kitti-da069fca.ckpt,LiteFlowNet2-ft-kitti.caffemodel,https://github.com/twhui/LiteFlowNet2
liteflownet2-sintel-1e1eb282.ckpt,LiteFlowNet2-ft-sintel.caffemodel,
liteflownet3-kitti-b5d32443.ckpt,LiteFlowNet3-ft-kitti.caffemodel,https://github.com/twhui/LiteFlowNet3
liteflownet3-sintel-d985929f.ckpt,LiteFlowNet3-ft-sintel.caffemodel,
liteflownet3s-kitti-5dffb261.ckpt,LiteFlowNet3-S-ft-kitti.caffemodel,
liteflownet3s-sintel-89793e34.ckpt,LiteFlowNet3-S-ft-sintel.caffemodel,
maskflownet-kitti-d2ccb09b.ckpt,8caNov12-1532_300000.pth,https://github.com/cattaneod/MaskFlownet-Pytorch
maskflownet-sintel-c52423aa.ckpt,5adNov03-0005_1000000.pth,
maskflownet_s-sintel-79196ff3.ckpt,771Sep25-0735_500000.pth,
maskflownet_s-things-a8a8ed9e.ckpt,dbbSep30-1206_1000000.pth,
pwcdcnet-sintel-c7d08a46.ckpt,pwc_net.pth.tar,https://github.com/NVlabs/PWC-Net/tree/master/PyTorch
pwcdcnet-things-cc223701.ckpt,pwc_net_chairs.pth.tar,
pwcnet-sintel-533815e5.ckpt,pwc_net.pth.tar,
pwcnet-things-6a2e540b.ckpt,pwc_net_chairs.pth.tar,
raft-chairs-590f38f7.ckpt,raft-chairs.pth,https://github.com/princeton-vl/RAFT
raft-kitti-3a831a4b.ckpt,raft-kitti.pth,
raft-sintel-fb44381e.ckpt,raft-sintel.pth,
raft-things-802bbcfd.ckpt,raft-things.pth,
raft_small-things-b7d9f997.ckpt,raft-small.pth,
scopeflow-chairs-ebfaa62d.ckpt,c1.ckpt,https://github.com/avirambh/ScopeFlow
scopeflow-kitti-a20c434d.ckpt,kitti_comb.ckpt,
scopeflow-sintel-21a91683.ckpt,sintel_comb.ckpt,
scopeflow-things-70e22d63.ckpt,t3.ckpt,
starflow-kitti-34b9a3ed.ckpt,StarFlow_kitti,https://github.com/pgodet/star_flow
starflow-sintel-3c06b844.ckpt,StarFlow_sintel,
starflow-things-d3966a93.ckpt,StarFlow_things,
vcn-chairs-792544a0.ckpt,vcn_chairs_finetune_141999.tar,https://github.com/gengshan-y/VCN
vcn-kitti-29aa0c1a.ckpt,vcn_kitti_ft_finetune_149999.tar,
vcn-sintel-5aac0540.ckpt,vcn_sintel_ft_finetune_67999.tar,
vcn-things-afc0f455.ckpt,vcn_things_finetune_239999.tar,
vcn_small-chairs-2a5f72ba.ckpt,vcn_small_chairs_finetune_139999.tar,
vcn_small-things-e5a44ada.ckpt,vcn_small_things_finetune_183999.tar,
