model,checkpoint,sintel-clean-occ-val/epe,sintel-clean-occ-val/px1,sintel-clean-occ-val/px3,sintel-clean-occ-val/px5,sintel-clean-occ-val/outlier,sintel-clean-occ-val/epe_occ,sintel-clean-occ-val/epe_non_occ,sintel-clean-occ-val/px1_occ,sintel-clean-occ-val/px1_non_occ,sintel-clean-occ-val/px3_occ,sintel-clean-occ-val/px3_non_occ,sintel-clean-occ-val/px5_occ,sintel-clean-occ-val/px5_non_occ,sintel-clean-occ-val/outlier_occ,sintel-clean-occ-val/outlier_non_occ,sintel-final-occ-val/epe,sintel-final-occ-val/px1,sintel-final-occ-val/px3,sintel-final-occ-val/px5,sintel-final-occ-val/outlier,sintel-final-occ-val/epe_occ,sintel-final-occ-val/epe_non_occ,sintel-final-occ-val/px1_occ,sintel-final-occ-val/px1_non_occ,sintel-final-occ-val/px3_occ,sintel-final-occ-val/px3_non_occ,sintel-final-occ-val/px5_occ,sintel-final-occ-val/px5_non_occ,sintel-final-occ-val/outlier_occ,sintel-final-occ-val/outlier_non_occ,kitti-2012-val/epe,kitti-2012-val/px1,kitti-2012-val/px3,kitti-2012-val/px5,kitti-2012-val/outlier,kitti-2015-val/epe,kitti-2015-val/px1,kitti-2015-val/px3,kitti-2015-val/px5,kitti-2015-val/outlier,sintel-clean-occ-val/occ_f1,sintel-final-occ-val/occ_f1,sintel-clean-occ-val/conf_f1,sintel-final-occ-val/conf_f1,kitti-2012-val/conf_f1,kitti-2015-val/conf_f1
ccmr,kitti,1.444,0.924,0.96,0.969,3.81,4.744,0.849,0.632,0.953,0.807,0.979,0.858,0.984,18.064,2.005,2.806,0.863,0.921,0.939,7.617,7.122,1.98,0.565,0.889,0.745,0.94,0.804,0.956,24.263,5.692,0.982,0.864,0.957,0.974,2.949,0.747,0.864,0.959,0.978,2.172,,,,,,
ccmr,sintel,0.49,0.95,0.977,0.984,2.084,2.224,0.211,0.702,0.976,0.861,0.992,0.908,0.995,12.404,0.763,0.789,0.914,0.96,0.973,3.568,2.757,0.467,0.655,0.939,0.832,0.976,0.885,0.985,15.21,2.077,1.158,0.85,0.949,0.969,3.583,1.096,0.816,0.94,0.965,3.566,,,,,,
ccmr+,kitti,1.326,0.937,0.964,0.971,3.449,4.517,0.741,0.695,0.963,0.828,0.982,0.868,0.985,15.934,1.781,2.721,0.874,0.926,0.941,7.052,6.855,1.936,0.611,0.899,0.765,0.945,0.815,0.957,22.217,5.24,0.985,0.868,0.955,0.973,2.927,0.724,0.869,0.959,0.978,1.924,,,,,,
ccmr+,sintel,0.435,0.966,0.983,0.987,1.549,1.928,0.155,0.791,0.988,0.896,0.995,0.925,0.997,9.044,0.431,0.739,0.925,0.964,0.975,3.13,2.58,0.415,0.725,0.947,0.857,0.979,0.898,0.987,12.691,1.787,1.264,0.856,0.948,0.967,3.736,1.025,0.833,0.944,0.967,3.177,,,,,,
craft,things,1.281,0.903,0.958,0.971,3.925,4.591,0.643,0.601,0.933,0.8,0.979,0.858,0.987,18.677,2.003,2.734,0.852,0.921,0.94,7.59,7.119,1.891,0.534,0.88,0.737,0.942,0.801,0.958,25.07,5.506,2.03,0.713,0.891,0.931,9.398,4.752,0.626,0.814,0.861,16.868,,,,,,
craft,sintel,0.616,0.929,0.972,0.982,2.541,2.452,0.322,0.678,0.955,0.848,0.988,0.898,0.993,13.617,1.1,1.075,0.893,0.951,0.967,4.449,3.31,0.68,0.634,0.918,0.817,0.967,0.872,0.98,16.827,2.89,1.275,0.811,0.94,0.965,4.34,1.466,0.773,0.922,0.953,5.115,,,,,,
craft,kitti,3.847,0.808,0.898,0.921,9.928,10.106,2.705,0.441,0.839,0.65,0.925,0.724,0.945,33.801,7.309,5.706,0.756,0.858,0.887,13.959,12.305,4.488,0.407,0.782,0.612,0.883,0.688,0.909,37.824,11.491,1.286,0.819,0.943,0.965,4.225,0.594,0.882,0.971,0.986,1.417,,,,,,
csflow,chairs,2.139,0.801,0.931,0.953,6.554,6.522,1.312,0.478,0.828,0.734,0.955,0.807,0.972,25.187,4.278,4.067,0.723,0.886,0.915,11.019,9.871,2.987,0.407,0.746,0.667,0.91,0.741,0.936,32.24,8.66,4.385,0.334,0.72,0.824,26.882,9.032,0.364,0.641,0.732,34.91,,,,,,
csflow,things,1.426,0.903,0.958,0.97,3.975,4.881,0.745,0.6,0.934,0.796,0.979,0.854,0.986,19.045,2.035,2.61,0.854,0.921,0.94,7.554,6.89,1.82,0.533,0.882,0.734,0.942,0.798,0.958,25.335,5.442,1.952,0.725,0.9,0.938,8.494,4.668,0.637,0.821,0.867,16.04,,,,,,
csflow,kitti,0.832,0.915,0.965,0.977,3.188,3.203,0.431,0.634,0.944,0.821,0.984,0.877,0.991,16.357,1.495,2.167,0.869,0.932,0.95,6.402,5.678,1.533,0.567,0.896,0.761,0.951,0.823,0.966,22.469,4.534,1.203,0.82,0.945,0.968,3.932,0.711,0.862,0.963,0.982,1.845,,,,,,
