model,checkpoint,sintel-clean-val/epe,sintel-clean-val/px1,sintel-clean-val/px3,sintel-clean-val/px5,sintel-clean-val/flall,sintel-clean-val/wauc,sintel-final-val/epe,sintel-final-val/px1,sintel-final-val/px3,sintel-final-val/px5,sintel-final-val/flall,sintel-final-val/wauc,kitti-2015-val/epe,kitti-2015-val/px1,kitti-2015-val/px3,kitti-2015-val/px5,kitti-2015-val/flall,kitti-2015-val/wauc
craft,things,1.283,0.903,0.958,0.971,3.923,87.16,2.732,0.852,0.921,0.94,7.583,82.609,4.751,0.626,0.814,0.861,16.87,63.201
csflow,things,1.426,0.903,0.958,0.97,3.968,87.424,2.618,0.854,0.921,0.94,7.544,82.925,4.649,0.637,0.821,0.867,16.034,64.074
dicl,things,1.967,0.881,0.94,0.955,5.758,84.813,3.731,0.815,0.892,0.915,10.45,79.049,9.661,0.602,0.752,0.794,23.718,59.943
dip,things,1.344,0.918,0.964,0.974,3.414,88.923,3.006,0.843,0.917,0.935,7.945,82.44,4.405,0.696,0.846,0.884,13.346,68.814
fastflownet,things,2.873,0.8,0.902,0.928,9.492,76.76,4.194,0.743,0.862,0.895,13.477,71.952,12.337,0.472,0.662,0.723,33.274,49.326
flow1d,things,1.976,0.871,0.944,0.96,5.302,83.849,3.24,0.823,0.904,0.927,9.224,79.399,6.582,0.555,0.762,0.82,22.365,57.632
flowformer,things,0.939,0.915,0.964,0.975,3.327,88.557,2.339,0.861,0.925,0.944,7.086,83.566,4.554,0.644,0.829,0.876,15.006,64.79
flowformer_pp,things,0.9,0.918,0.965,0.976,3.26,88.933,2.296,0.862,0.926,0.944,7.04,83.817,4.335,0.649,0.829,0.875,15.018,65.158
flownet2,things,2.223,0.839,0.92,0.941,7.659,78.845,3.639,0.788,0.88,0.908,11.587,74.561,10.09,0.533,0.689,0.74,30.475,53.929
flownetc,things,3.109,0.645,0.856,0.905,13.902,63.981,4.609,0.604,0.817,0.869,17.988,60.508,11.502,0.283,0.553,0.652,44.188,35.451
flownetcs,things,2.294,0.815,0.913,0.938,8.318,77.731,3.662,0.758,0.871,0.904,12.526,72.747,9.272,0.491,0.686,0.747,30.561,51.004
flownetcss,things,2.21,0.831,0.918,0.94,7.861,79.817,3.551,0.772,0.876,0.907,12.0,74.642,8.906,0.521,0.699,0.755,29.314,53.333
flownets,things,3.983,0.601,0.823,0.879,17.399,60.369,5.264,0.577,0.798,0.853,20.015,58.076,14.193,0.242,0.486,0.587,51.171,30.673
