Model,S.clean,S.final,K15-epe,K15-fl
ccmr,1.07,2.4,,13.3
ccmr_p,0.98,2.36,,12.84
craft,1.27,2.79,4.88,17.5
csflow,1.42,2.6,4.69,16.5
dicl,1.94,3.77,8.7,23.6
dip,1.3,2.82,4.29,13.73
dpflow,1.02,2.26,3.37,11.1
fastflownet,2.89,4.14,12.24,33.1
flow1d,1.98,3.27,6.69,23
flowformer,0.95,2.35,4.09,14.7
flowformer_pp,0.9,2.3,3.93,14.1
flownet2,2.02,3.54,10.08,30
flownetc,4.31,5.87,,
flownetcs,,,,
flownetcss,2.1,3.23,8.94,29.77
flownets,4.5,5.45,,
flownetsd,,,,
gma,1.3,2.74,4.69,17.1
gmflow,1.5,2.96,,
gmflow_p,1.5,2.96,,
gmflow_p_sc2,1.08,2.48,7.77,23.4
gmflow_p_sc2_ref6,0.9,2.74,5.74,17.6
gmflow_refine,1.08,2.48,7.77,23.4
gmflownet,1.14,2.71,4.24,15.4
gmflownet_mix,,,,
hd3,3.84,8.77,13.17,24
hd3_ctxt,,,,
irr_pwc,2.34,3.95,,
irr_pwcnet,,,,
irr_pwcnet_irr,,,,
lcv_raft,,,,
lcv_raft_small,,,,
liteflownet,2.48,4.04,10.39,28.5
liteflownet2,2.24,3.78,,25.88
liteflownet2_pseudoreg,,,,
liteflownet3,,,,
liteflownet3_pseudoreg,,,,
liteflownet3s,,,,
liteflownet3s_pseudoreg,,,,
llaflow,1.38,2.61,,
llaflow_raft,,,,
maskflownet,2.25,3.61,,23.14
maskflownet_s,2.33,3.72,,23.58
matchflow,1.03,2.45,4.08,15.6
matchflow_raft,1.14,2.61,4.19,13.6
memflow,0.93,2.08,3.88,13.7
memflow_t,0.85,2.06,3.38,12.8
ms_raft_p,,,,
neuflow,1.66,3.13,12.4,32.5
neuflow2,1.24,2.67,4.33,15.3
pwcnet,2.55,3.93,10.35,33.7
pwcnet_nodc,,,,
raft,1.43,2.71,5.04,17.4
raft_small,2.21,3.35,7.51,26.9
rapidflow,1.58,2.94,5.87,17.7
rapidflow_it1,4.09,5.19,,57
rapidflow_it2,2.76,3.96,,37.8
rapidflow_it3,2.03,3.36,,25.5
rapidflow_it6,1.69,3,,19.9
rpknet,1.12,2.45,3.78,13
scopeflow,,,,
scv4,1.72,3.07,6.32,21.8
scv8,1.55,3.07,5.74,20.2
sea_raft,,,,
sea_raft_l,1.19,4.11,3.62,12.9
sea_raft_m,1.21,4.04,4.29,14.2
sea_raft_s,1.27,3.74,4.43,15.1
separableflow,1.3,2.59,4.6,15.9
skflow,1.22,2.46,4.47,15.5
splatflow,1.22,2.97,3.7,14.9
starflow,,,,
streamflow,0.87,2.11,3.85,12.6
unimatch,1.5,2.96,,
unimatch_sc2,1.08,2.48,7.77,23.4
unimatch_sc2_ref6,0.9,2.74,5.74,17.6
vcn,2.21,3.68,8.36,25.1
vcn_small,2.45,3.63,9.43,33.4
videoflow_bof,1.03,2.19,3.96,15.3
videoflow_mof,1.18,2.56,3.89,14.2
