model,checkpoint,sintel-clean,sintel-final,kitti-2012,kitti-2015
ccmr,kitti,1.444,2.806,0.982,0.747
ccmr,sintel,0.49,0.789,1.158,1.096
ccmr+,kitti,1.326,2.721,0.985,0.724
ccmr+,sintel,0.435,0.739,1.264,1.025
craft,things,1.281,2.734,2.03,4.752
craft,sintel,0.616,1.075,1.275,1.466
craft,kitti,3.847,5.706,1.286,0.594
csflow,chairs,2.139,4.067,4.385,9.032
csflow,things,1.426,2.61,1.952,4.668
csflow,kitti,0.832,2.167,1.203,0.711
dicl,sintel,1.116,1.614,2.111,5.702
dicl,things,1.965,3.732,3.668,9.659
dicl,chairs,3.427,4.861,5.915,18.379
dicl,kitti,8.108,9.648,1.081,1.198
dip,kitti,1.176,2.168,0.945,1.129
dip,sintel,0.504,1.494,1.619,3.977
dip,things,1.332,3.187,1.74,4.426
fastflownet,chairs,3.208,4.352,5.404,13.912
fastflownet,kitti,3.979,5.147,1.46,2.168
fastflownet,mix,2.589,2.711,2.507,5.305
fastflownet,sintel,2.694,2.735,4.871,13.092
fastflownet,things,2.873,4.194,4.952,12.337
flow1d,highres,1.315,2.163,2.361,4.487
flow1d,chairs,2.815,5.437,6.971,14.528
flow1d,things,2.004,3.243,2.595,6.575
flow1d,sintel,0.841,1.244,1.511,1.74
flow1d,kitti,6.532,8.981,1.451,0.655
flowformer,kitti,2.997,4.104,1.323,0.485
flowformer,sintel,0.412,0.61,1.236,1.094
flowformer,chairs,1.952,4.156,4.217,9.182
flowformer,things,0.94,2.338,1.872,4.534
flowformer++,chairs,1.822,4.053,4.053,8.853
flowformer++,things,0.895,2.293,1.809,4.339
flowformer++,things288960,1.052,2.533,1.82,4.282
flowformer++,sintel,0.401,0.602,1.153,1.08
flowformer++,kitti,2.476,3.787,1.233,0.475
flownet2,things,2.222,3.639,3.995,10.09
flownetc,things,3.109,4.609,5.773,11.502
flownetcs,things,2.294,3.662,3.721,9.272
flownetcss,things,2.21,3.551,3.477,8.906
flownets,things,3.983,5.264,7.262,14.193
flownetsd,things,7.613,7.77,17.53,24.445
gma,kitti,5.558,8.169,1.425,0.594
gma,sintel,0.631,1.056,1.27,1.46
gma,things,1.306,2.755,1.959,4.485
gma,chairs,2.273,4.328,4.841,10.216
gmflow,chairs,3.225,4.432,8.623,16.542
gmflow,things,1.495,2.955,5.246,10.347
gmflow,sintel,0.947,1.276,2.377,3.027
gmflow,kitti,2.858,3.906,2.077,2.104
gmflow+,things,1.495,2.955,5.246,10.347
gmflow+,mix,1.43,2.014,2.554,3.697
gmflow+_sc2,mix,0.898,1.422,1.715,2.389
gmflow+_sc2,things,1.084,2.474,3.132,6.747
gmflow+_sc2,sintel,0.762,1.11,1.638,1.975
gmflow+_sc2_refine6,things,0.908,2.74,2.198,4.919
gmflow+_sc2_refine6,sintel,0.403,0.628,1.191,1.153
