model,checkpoint,sintel-clean-epe,sintel-clean-outlier,sintel-final-epe,sintel-final-outlier,kitti-2012-epe,kitti-2012-outlier,kitti-2015-epe,kitti-2015-outlier
ccmr,kitti,1.444,3.81,2.806,7.617,0.982,2.949,0.747,2.172
ccmr,sintel,0.49,2.084,0.789,3.568,1.158,3.583,1.096,3.566
ccmr+,kitti,1.326,3.449,2.721,7.052,0.985,2.927,0.724,1.924
ccmr+,sintel,0.435,1.549,0.739,3.13,1.264,3.736,1.025,3.177
craft,things,1.281,3.925,2.734,7.59,2.03,9.398,4.752,16.868
craft,sintel,0.616,2.541,1.075,4.449,1.275,4.34,1.466,5.115
craft,kitti,3.847,9.928,5.706,13.959,1.286,4.225,0.594,1.417
csflow,chairs,2.139,6.554,4.067,11.019,4.385,26.882,9.032,34.91
csflow,things,1.426,3.975,2.61,7.554,1.952,8.494,4.668,16.04
csflow,kitti,0.832,3.188,2.167,6.402,1.203,3.932,0.711,1.845
dicl,sintel,1.116,4.334,1.614,6.838,2.111,7.916,5.702,16.734
dicl,things,1.965,5.758,3.732,10.448,3.668,13.899,9.659,23.716
dicl,chairs,3.427,8.702,4.861,13.078,5.915,27.804,18.379,45.6
dicl,kitti,8.108,19.757,9.648,23.55,1.081,4.207,1.198,4.528
dip,kitti,1.176,3.164,2.168,6.721,0.945,2.861,1.129,3.424
dip,sintel,0.504,2.037,1.494,5.506,1.619,5.922,3.977,11.139
dip,things,1.332,3.414,3.187,7.939,1.74,6.918,4.426,13.349
fastflownet,chairs,3.208,10.035,4.352,13.932,5.404,23.106,13.912,36.506
fastflownet,kitti,3.979,11.571,5.147,15.207,1.46,5.899,2.168,8.319
fastflownet,mix,2.589,7.893,2.711,10.398,2.507,10.241,5.305,18.425
fastflownet,sintel,2.694,8.048,2.735,10.411,4.871,17.381,13.092,30.974
fastflownet,things,2.873,9.492,4.194,13.478,4.952,21.192,12.337,33.274
flow1d,highres,1.315,4.758,2.163,7.464,2.361,10.08,4.487,17.705
flow1d,chairs,2.815,8.61,5.437,14.098,6.971,38.353,14.528,44.731
flow1d,things,2.004,5.311,3.243,9.226,2.595,12.201,6.575,22.365
flow1d,sintel,0.841,3.517,1.244,5.614,1.511,5.91,1.74,6.72
flow1d,kitti,6.532,12.752,8.981,16.648,1.451,5.431,0.655,1.694
flowformer,kitti,2.997,8.761,4.104,12.706,1.323,4.269,0.485,0.942
flowformer,sintel,0.412,1.809,0.61,2.939,1.236,4.009,1.094,3.613
flowformer,chairs,1.952,6.208,4.156,10.687,4.217,23.041,9.182,33.215
flowformer,things,0.94,3.323,2.338,7.088,1.872,7.751,4.534,15.003
flowformer++,chairs,1.822,6.082,4.053,10.565,4.053,24.495,8.853,33.26
flowformer++,things,0.895,3.258,2.293,7.041,1.809,7.514,4.339,15.026
flowformer++,things288960,1.052,3.43,2.533,7.187,1.82,7.637,4.282,14.473
flowformer++,sintel,0.401,1.772,0.602,2.889,1.153,3.913,1.08,3.656
