model,checkpoint,sintel_final-epe,sintel_clean-epe,kitti_2012-epe,kitti_2015-epe
flownet2,things,3.97,3.005,5.468,13.143
flownetc,things,5.647,4.545,8.104,15.985
flownetcs,things,4.164,3.131,5.028,12.517
flownetcss,things,4.021,2.989,4.657,11.901
flownets,things,5.244,3.958,7.723,14.812
flownetsd,things,7.821,7.616,17.258,24.21
hd3,chairs,9.722,4.918,12.219,21.716
hd3,things,6.502,3.214,6.854,14.505
hd3,sintel,1.603,2.311,6.301,15.291
hd3,kitti,44.813,37.062,1.262,1.943
hd3_ctxt,kitti,1.737,2.103,5.058,13.45
hd3_ctxt,sintel,7.858,6.016,0.999,1.536
hd3_ctxt,chairs,5.792,3.727,13.695,22.971
hd3_ctxt,things,4.421,2.072,4.645,9.959
irr_pwc,chairs_occ,3.942,2.326,3.9,10.712
irr_pwc,things,3.397,1.857,3.544,9.475
irr_pwc,sintel,2.447,1.858,2.585,7.964
irr_pwc,kitti,8.168,7.437,1.128,1.518
irr_pwcnet,things,4.406,3.087,5.974,14.701
irr_pwcnet_irr,things,4.044,2.741,5.147,13.024
liteflownet,things,4.009,2.495,4.523,11.462
liteflownet,sintel,1.844,1.415,3.645,10.339
liteflownet,kitti,5.922,4.548,1.161,1.777
liteflownet2,sintel,1.912,1.488,1.639,3.25
liteflownet2_pseudoreg,kitti,5.671,4.508,1.022,1.383
liteflownet3,sintel,1.842,1.373,1.52,3.078
liteflownet3_pseudoreg,kitti,5.569,4.393,0.973,1.302
liteflownet3s,sintel,1.981,1.495,1.575,3.231
liteflownet3s_pseudoreg,kitti,5.473,4.208,0.991,1.426
pwcdcnet,sintel,2.328,1.808,2.072,3.159
pwcdcnet,things,4.213,2.676,4.582,10.994
pwcnet,sintel,2.82,2.255,3.327,6.249
pwcnet,things,4.827,3.358,5.551,12.669
raft,sintel,1.571,0.87,1.341,1.632
raft,kitti,6.293,4.687,1.271,0.779
raft,things,3.0,1.507,2.26,5.495
raft,chairs,4.296,2.202,4.596,9.747
raft_small,things,3.549,2.191,3.618,8.633
scopeflow,chairs,3.95,2.569,4.096,11.975
scopeflow,things,3.269,1.832,3.466,9.784
scopeflow,kitti,10.458,8.111,1.002,1.337
scopeflow,sintel,2.461,1.63,2.076,6.085
vcn,chairs,3.96,2.801,4.444,10.773
vcn,things,3.966,2.494,3.466,8.627
vcn,sintel,2.251,1.595,2.209,4.314
vcn,kitti,9.196,5.934,1.141,1.455
vcn_small,chairs,4.297,3.217,5.656,13.18
vcn_small,things,5.247,4.8,4.248,9.692
